videoId,category,categoryLabel,classificationAvailable,hasAny,hasDual,hasElbowRoll,hasShoulderRoll,totalFrameCount,singularFrameCount,dualFrameCount,elbowRollFrameCount,shoulderRollFrameCount,leftArmDualFrameCount,leftArmElbowRollFrameCount,leftArmShoulderRollFrameCount,leftArmNoSingularityFrameCount,rightArmDualFrameCount,rightArmElbowRollFrameCount,rightArmShoulderRollFrameCount,rightArmNoSingularityFrameCount,diagnosticArmCount,expectedDiagnosticArmCount
video_001,basketball_movements,Basketball,True,True,False,True,False,24,3,0,3,0,0,0,0,24,0,3,0,21,48,48
video_002,basketball_movements,Basketball,True,True,False,True,False,24,3,0,3,0,0,3,0,21,0,0,0,24,48,48
video_003,basketball_movements,Basketball,True,True,False,False,True,24,24,0,0,24,0,0,24,0,0,0,24,0,48,48
video_004,basketball_movements,Basketball,True,True,False,True,False,24,4,0,4,0,0,0,0,24,0,4,0,20,48,48
video_005,basketball_movements,Basketball,True,True,False,False,True,24,24,0,0,24,0,0,24,0,0,0,24,0,48,48
video_006,basketball_movements,Basketball,True,True,False,True,False,24,13,0,13,0,0,4,0,20,0,11,0,13,48,48
video_007,basketball_movements,Basketball,True,True,False,True,False,24,4,0,4,0,0,4,0,20,0,0,0,24,48,48
video_008,basketball_movements,Basketball,True,True,False,True,False,24,5,0,5,0,0,5,0,19,0,5,0,19,48,48
video_009,basketball_movements,Basketball,True,True,False,True,False,24,7,0,7,0,0,3,0,21,0,4,0,20,48,48
video_010,basketball_movements,Basketball,True,True,False,True,False,24,13,0,13,0,0,11,0,13,0,4,0,20,48,48
video_001,celebration_movements,Celebration,True,True,False,True,False,24,11,0,11,0,0,11,0,13,0,7,0,17,48,48
video_002,celebration_movements,Celebration,True,True,False,True,False,24,15,0,15,0,0,15,0,9,0,9,0,15,48,48
video_003,celebration_movements,Celebration,True,True,False,True,True,24,24,0,24,1,0,24,0,0,0,9,1,14,48,48
video_004,celebration_movements,Celebration,True,True,False,True,False,24,20,0,20,0,0,10,0,14,0,20,0,4,48,48
video_005,celebration_movements,Celebration,True,True,False,False,True,24,14,0,0,14,0,0,14,10,0,0,13,11,48,48
video_006,celebration_movements,Celebration,True,True,False,True,True,24,17,0,13,4,0,13,3,8,0,13,4,7,48,48
video_007,celebration_movements,Celebration,True,True,False,True,False,24,6,0,6,0,0,6,0,18,0,5,0,19,48,48
video_008,celebration_movements,Celebration,True,True,False,True,False,24,6,0,6,0,0,6,0,18,0,6,0,18,48,48
video_009,celebration_movements,Celebration,True,True,False,True,False,24,5,0,5,0,0,5,0,19,0,5,0,19,48,48
video_010,celebration_movements,Celebration,True,True,False,True,True,24,17,0,13,4,0,13,4,7,0,13,3,8,48,48
video_001,pepper_singularity_motions,Lateral Arm Raising,True,True,True,False,False,24,24,24,0,0,24,0,0,0,24,0,0,0,48,48
video_002,pepper_singularity_motions,Lateral Arm Raising,True,True,True,True,False,24,24,10,15,0,10,14,0,0,9,15,0,0,48,48
video_003,pepper_singularity_motions,Lateral Arm Raising,True,True,True,True,False,24,24,11,24,0,0,24,0,0,11,13,0,0,48,48
video_004,pepper_singularity_motions,Lateral Arm Raising,True,True,True,False,False,24,24,24,0,0,24,0,0,0,24,0,0,0,48,48
video_005,pepper_singularity_motions,Lateral Arm Raising,True,True,True,True,False,24,23,16,16,0,14,9,0,1,9,13,0,2,48,48
video_006,pepper_singularity_motions,Lateral Arm Raising,True,True,True,True,True,24,23,7,15,2,7,15,1,1,6,10,2,6,48,48
video_007,pepper_singularity_motions,Lateral Arm Raising,True,True,True,True,True,24,24,6,16,4,6,15,3,0,3,15,4,2,48,48
video_008,pepper_singularity_motions,Lateral Arm Raising,True,True,True,True,True,24,21,6,13,3,6,12,2,4,5,9,3,7,48,48
video_009,pepper_singularity_motions,Lateral Arm Raising,True,True,True,True,True,24,23,10,15,4,10,13,0,1,4,11,4,5,48,48
video_010,pepper_singularity_motions,Lateral Arm Raising,True,True,True,True,True,24,23,7,15,2,6,10,2,6,7,15,1,1,48,48
video_001,police_traffic,Police traffic,True,True,False,True,True,24,24,0,1,24,0,1,0,23,0,0,24,0,48,48
video_002,police_traffic,Police traffic,True,True,True,True,True,24,19,3,13,3,0,0,0,24,3,13,3,5,48,48
video_003,police_traffic,Police traffic,True,False,False,False,False,24,0,0,0,0,0,0,0,24,0,0,0,24,48,48
video_004,police_traffic,Police traffic,True,True,False,True,False,24,24,0,24,0,0,24,0,0,0,0,0,24,48,48
video_005,police_traffic,Police traffic,True,False,False,False,False,24,0,0,0,0,0,0,0,24,0,0,0,24,48,48
video_006,police_traffic,Police traffic,True,True,False,True,False,24,11,0,11,0,0,7,0,17,0,11,0,13,48,48
video_007,police_traffic,Police traffic,True,True,True,True,True,24,23,12,16,2,12,6,2,4,0,16,0,8,48,48
video_008,police_traffic,Police traffic,True,True,False,True,False,24,24,0,24,0,0,23,0,1,0,9,0,15,48,48
video_009,police_traffic,Police traffic,True,True,True,True,False,24,21,14,7,0,14,7,0,3,0,5,0,19,48,48
video_010,police_traffic,Police traffic,True,True,False,True,False,24,11,0,11,0,0,11,0,13,0,7,0,17,48,48
video_001,upper_body_jogging,Jogging,True,True,False,True,False,24,24,0,24,0,0,24,0,0,0,4,0,20,48,48
video_002,upper_body_jogging,Jogging,True,True,False,True,False,24,24,0,24,0,0,9,0,15,0,24,0,0,48,48
video_003,upper_body_jogging,Jogging,True,True,False,True,False,24,2,0,2,0,0,2,0,22,0,0,0,24,48,48
video_004,upper_body_jogging,Jogging,True,True,False,True,False,24,11,0,11,0,0,11,0,13,0,0,0,24,48,48
video_005,upper_body_jogging,Jogging,True,True,False,True,False,24,1,0,1,0,0,1,0,23,0,0,0,24,48,48
video_006,upper_body_jogging,Jogging,True,False,False,False,False,24,0,0,0,0,0,0,0,24,0,0,0,24,48,48
video_007,upper_body_jogging,Jogging,True,True,False,True,False,24,5,0,5,0,0,5,0,19,0,1,0,23,48,48
video_008,upper_body_jogging,Jogging,True,True,False,True,False,24,1,0,1,0,0,1,0,23,0,0,0,24,48,48
video_009,upper_body_jogging,Jogging,True,True,False,True,False,24,6,0,6,0,0,6,0,18,0,0,0,24,48,48
video_010,upper_body_jogging,Jogging,True,False,False,False,False,24,0,0,0,0,0,0,0,24,0,0,0,24,48,48
