Upper Arm;Forearm;Hand Palm;Twist Right;Twist Left;Comment;;;;;;;;;
UP;UP;UP;NAN WRIST;NAN WRIST;Singular depends on shoulder, this twist is assuming that shoulder does not rotate;;NAN WRIST ;Pepper Cannot Do it;;;;;;
UP;UP;DOWN;NAN WRIST;NAN WRIST;Singular depends on shoulder, this twist is assuming that shoulder does not rotate;;360;opposite of centered;;;;;;Multilabel Error
UP;UP;LEFT;CENTERED;360;Singular depends on shoulder, this twist is assuming that shoulder does not rotate;;INWARD;Twist thumb toward body or interior elbow;;;;;;Natural position on left left and right rright is looking front
UP;UP;RIGHT;360;CENTERED;Singular depends on shoulder, this twist is assuming that shoulder does not rotate;;Outward;Twist thumb outward body or same as thum toward exterior elbow;;;;;;
UP;UP;FRONT;INWARD;INWARD;Singular depends on shoulder, this twist is assuming that shoulder does not rotate;;NAN HUMAN;Human Not possible;;;;;;
UP;UP;BACK;OUTWARD;OUTWARD;Singular depends on shoulder, this twist is assuming that shoulder does not rotate;;NAN WRIST;;;;;;;
UP;DOWN;UP;NAN HUMAN, NAN ELBOW, NAN WRIST;NAN HUMAN, NAN ELBOW, NAN WRIST;;;NAN SHOULDER;Pepper Cannot do it because its shoulder;;;;;;
UP;DOWN;DOWN;NAN HUMAN, NAN ELBOW, NAN WRIST;NAN HUMAN, NAN ELBOW, NAN WRIST;;;NAN ELBOW;Pepper Cannot do it because its elbow;;;;;;
UP;DOWN;LEFT;NAN HUMAN, NAN ELBOW;NAN HUMAN, NAN ELBOW;;;;;;;;;;
UP;DOWN;RIGHT;NAN HUMAN, NAN ELBOW;NAN HUMAN, NAN ELBOW;;;;;;;;;;
UP;DOWN;FRONT;NAN HUMAN, NAN ELBOW;NAN HUMAN, NAN ELBOW;;;;;;;;;;
UP;DOWN;BACK;NAN HUMAN, NAN ELBOW;NAN HUMAN, NAN ELBOW;;;;;;;;;;
UP;LEFT;UP;INWARD;NAN HUMAN;;;;;;;;;;
UP;LEFT;DOWN;OUTWARD;NAN HUMAN;;;;;;;;;;
